Disease,MeSH,DOID
C0002726,D000686,9120
C0013080,D004314,14250
C0030305,D010195,2913
C0007570,D002446,10608
C0003872,D015535,9008
C0038436,D013313,2055
C0553580,D012512,3369
C0238198,D046152,9253
C0031090,D010510,3388
C0003504,D001022,57
C0011311,D003715,12205
C0008479,D002813,3371
C0014038,D004660,9588
C0027947,D009503,1227
C0038220,D013226,1824
C3241937,D065626,0080208
C0023267,D007889,127
C0018790,D006323,0060319
C0269102,D004715,289
C0235480,D001281,0060224
C3468561,D001281,0060224
C2585653,D001281,0060224
C4317109,D012640,11832
C0153633,D001932,1319
C0038379,D013285,9306
C0848558,D007021,10892
C0752347,D020961,12217
C0005745,D001763,0060260
C0241910,D019693,2048
C0026010,D008850,10629
C0020255,D006849,10908
C0028077,D009755,8499
C0027092,D009216,11830
C0008313,D015209,0060643
C0033687,D011507,576
C0079745,D008224,0050873
C0242647,D018442,0050748
C0014060,D004674,10845
C0039483,D013700,13375
C0011269,D015140,8725
C0002965,D000789,8805
C0221357,D059327,0050581
C0018817,D006344,1882
C1531647,D006849,10908
C0018818,D006345,1657
C0041671,D001289,1094
C0013384,D020820,9854
C0017168,D005764,8534
C0494475,D012640,11832
C0026948,D009182,8691
C0023269,D007890,1967
C0265219,D054221,0060402
C0376544,D019337,2531
C0085584,D001927,936
C0206656,D018233,3246
C0039101,D013584,5485
C0206655,D018232,4051
C0017665,D015433,10976
C0017668,D005923,1312
C0235527,D006333,6000
C0006012,D001883,10930
C0852283,D012128,11394
C0023892,D008105,12236
C0023448,D007945,1037
C3711374,C580334,0050563
C0005779,D001778,1247
C0001815,D055728,4971
C0026850,D009136,9884
C0020433,D006932,2741
C0751651,D028361,700
C0023787,D008060,811
C0086981,D012859,12894
C0085762,D000437,1574
C0600427,D019970,9975
C0030354,D010212,139
C0021831,D007410,5295
C0019189,D006521,2237
C0035235,D018357,1273
C0011633,D003882,10223
C0009447,D017074,12177
C0920350,D013967,7188
C0035455,D012220,4483
C0006267,D001987,9563
C0023343,D007918,1024
C0019100,D019595,12206
C0002622,D000647,10914
C0036205,D017565,13406
C0039103,D013585,12225
C0007758,D002524,0050753
C0013421,D004421,543
C0751690,D018319,3512
C0036920,D012751,8541
C1704321,D009402,10966
C0018378,D020275,12842
C0206682,D018263,3962
C0205647,D000236,3172
C0205851,D009373,2994
C1176475,D044584,3007
C0278601,D058922,6263
C0010606,D003528,0080202
C0024419,D008258,0060901
C0011875,D003925,11713
C0011882,D003929,11503
C0031106,D010520,1474
C0017574,D005891,3087
C0039263,D013625,2508
C0023290,D007898,9146
C0023891,D008104,14018
C0236969,D019966,303
C0019294,D006552,0060320
C0002171,D000506,986
C0040147,D013966,7166
C0205734,D003922,9744
C1963943,D013927,0060903
C0003507,D001024,1712
C0022116,D007511,326
C0740392,D020244,3525
C0038358,D013276,10808
C0270824,D012640,11832
C0751967,D020529,2378
C0221056,D003882,10223
C0023051,D007818,786
C0005967,D001859,184
C0030421,D010235,0050773
C0001624,D000310,3953
C0022665,D007680,263
C0033375,D015175,5394
C0206695,D018278,1800
C0027831,D009456,0111253
C0007133,D002291,3113
C0041948,D014511,4676
C0040021,D013919,12918
C0152020,D018589,11914
C0026277,D008949,452
C0001175,D000163,635
C0007282,D016893,13001
C0398623,D019851,2452
C1856689,C565561,0111218
C0162311,D000505,987
C4083212,D000505,987
C0009081,D003025,11836
C0018939,D006402,74
C0393593,D020821,543
C0038868,D013494,678
C0030920,D010437,750
C0017154,D005757,8929
C0013295,D004381,1724
C0008373,D002781,869
C0040100,D013945,3275
C0030809,D010392,0060851
C3495801,D014890,12132
C0025289,D008581,9471
C0014170,D016889,1380
C0280313,D000077195,2876
C0334463,D051677,1907
C0028960,D009845,14228
C0004509,D053713,14227
C0023281,D007896,9065
C0242231,D023921,4248
C0007273,D002340,3407
C0013537,D004461,13593
C0042170,D014607,12297
C0021843,D007415,8437
C0917798,D002545,2316
C0042571,D014717,2479
C0151740,D019586,9428
C0032300,D011014,552
C0341106,D057765,13922
C0022680,D007690,898
C0005283,D017086,12241
C0034065,D011655,9477
C0040028,D013920,2224
C0349639,D054429,0050458
C0836924,D013922,2228
C0002875,D017086,12241
C0020474,D006950,13809
C0031030,D010485,823
C0206687,D018269,2871
C0262584,D018288,5411
C1833921,C536911,0050547
C0205698,D002277,305
C0947622,D041761,11151
C0023462,D007947,8761
C0024535,D016778,14067
C0023524,D007968,643
C0013473,D001068,8670
C0024809,D002189,9505
C0003125,D000856,8689
C0030319,D016584,594
C0007959,D002607,0070161
C0152025,D011115,14402
C0154723,D020325,10024
C0338480,D020326,12783
C0020542,D006976,6432
C0206663,D018242,4790
C0010051,D003323,3362
C0152136,D057066,13544
C0017612,D005902,1067
C0017605,D015812,13550
C0018021,D006042,12176
C0917805,D002546,224
C0346402,D000306,660
C0032000,D010911,1785
C0010481,D003480,446
C0028768,D009771,10933
C0041234,D014355,12140
C0149630,D000082882,0080332
C0276289,D000071243,0060478
C0014057,D004672,10844
C0024534,D016779,14069
C0741923,D002318,1287
C0311335,D013226,1824
C0751523,D013226,1824
C0393734,D013226,1824
C0751524,D013226,1824
C0751522,D013226,1824
C0270823,D013226,1824
C0036631,D018239,4440
