DOID,Type,MeSH,UMLS_CUI
0050468,DIS,D056684,C0221348
0050469,DIS,D056685,C0587248
0050470,DIS,,
0050471,DIS,D056733,"C0406810, C1854540"
0050472,DIS,D056734,C0546966
0050473,DIS,D056769,C0268425
0050474,DIS,,C0265962
0050475,DIS,D056846,"C0265313, C1869114"
0050476,DIS,D056889,C0574083
0050477,DIS,D056929,C0221043
0050480,DIS,,
0050481,DIS,,
0050484,DIS,,
0050485,DIS,C537582,
0050486,DIS,D005076,C0015230
0050487,DIS,,
0050488,DIS,,
0050489,DIS,,
0050490,DIS,,
0050491,DIS,,
0050495,DIS,D005077,C0015231
0050508,DIS,,C1812609
0050513,DIS,,
0050514,DIS,,
0050515,DIS,,
0050516,DIS,,
0050517,DIS,,
0050518,DIS,,
0050521,DIS,,
0050522,DIS,,
0050523,DIS,D015459,C0023493
0050524,DIS,,
0050526,DIS,,
0050528,DIS,,
0050529,DIS,C563948,C1838230
0050530,DIS,D014897,C0393538
0050534,DIS,C537743,C1306122
0050535,DIS,,C0004608
0050536,DIS,,
0050537,DIS,,
0050538,DIS,,
0050539,DIS,,C0392553
0050540,DIS,,
0050541,DIS,,
0050542,DIS,,
0050543,DIS,,
0050544,DIS,C564683,
0050545,DIS,,
0050546,DIS,,
0050547,DIS,C536911,
0050548,DIS,D009477,
0050549,DIS,,
0050553,DIS,,
0050554,DIS,,
0050557,DIS,,C2937300
0050558,DIS,,
0050559,DIS,,
0050560,DIS,D058494,
0050561,DIS,,
0050562,DIS,D013036,
0050563,DIS,C580334,
0050564,DIS,,
0050565,DIS,,
0050566,DIS,,
0050567,DIS,,
0050568,DIS,,
0050569,DIS,,
0050570,DIS,,
0050571,DIS,C535747,
0050572,DIS,,
0050573,DIS,C535306,
0050574,DIS,,
0050575,DIS,,
0050576,DIS,C537580,
0050577,DIS,C562966,
0050578,DIS,,
0050579,DIS,,
0050580,DIS,,C1313885
0050581,DIS,D059327,
0050584,DIS,,
0050585,DIS,,
0050587,DIS,,
0050588,DIS,,
0050589,DIS,D015212,C0021390
0050590,DIS,,
0050591,DIS,D000848,C0399352
0050592,DIS,,
0050593,DIS,,
0050594,DIS,,
0050596,DIS,,C0152073
0050597,DIS,D012554,"C0036329, C0036330"
0050598,DIS,,
0050599,DIS,,
0050600,DIS,C535334,
0050601,DIS,,
0050602,DIS,,
0050603,DIS,,
0050604,DIS,C564334,
0050605,DIS,C538178,
0050606,DIS,,
0050608,DIS,,
0050610,DIS,,
0050611,DIS,,
0050612,DIS,,
0050613,DIS,,
0050614,DIS,,
0050615,DIS,,
0050616,DIS,,
0050617,DIS,,
0050618,DIS,,
0050619,DIS,D010255,"C0280334, C0854995"
0050620,DIS,,
0050621,DIS,,
0050622,DIS,,
0050623,DIS,,
0050624,DIS,,
0050625,DIS,,C0345913
0050626,DIS,,
0050628,DIS,,
0050629,DIS,,
0050630,DIS,C562664,
0050631,DIS,C537047,
0050632,DIS,D016115,
0050633,DIS,D016117,
0050634,DIS,C537055,
0050635,DIS,C536589,
0050636,DIS,,
0050637,DIS,,
0050638,DIS,,
0050639,DIS,,
0050640,DIS,,
0050641,DIS,C562717,
0050642,DIS,,
0050644,DIS,,
0050645,DIS,,
0050646,DIS,,
0050647,DIS,C535388,C0796028
0050648,DIS,,
0050649,DIS,,
0050650,DIS,,
0050651,DIS,D004694,C0014116
0050654,DIS,C536788,C0265308
0050655,DIS,,
0050656,DIS,,
0050657,DIS,D006223,
0050658,DIS,,
0050659,DIS,C537658,
0050660,DIS,,
0050661,DIS,D057826,
0050662,DIS,C567518,
0050663,DIS,C535436,
0050664,DIS,,
0050665,DIS,,
0050666,DIS,,
0050667,DIS,,
0050668,DIS,,
0050669,DIS,,
0050670,DIS,,
0050671,DIS,,
0050672,DIS,,
0050673,DIS,,
0050674,DIS,,
0050675,DIS,C567357,
0050676,DIS,D058249,
0050677,DIS,C537633,C0266006
0050678,DIS,C538157,
0050679,DIS,,
0050680,DIS,C536573,
0050681,DIS,C536575,C0265339
0050682,DIS,,
0050683,DIS,C564392,
0050684,DIS,C537081,C1859405
0050685,DIS,,C0334239
0050686,DIS,D009371,
0050687,DIS,,
0050688,DIS,,
0050689,DIS,C565193,
0050690,DIS,C537098,
0050691,DIS,,
0050692,DIS,C536607,
