DOID,Type,MeSH,UMLS_CUI
0110140,DIS,,
0110141,DIS,,
0110142,DIS,,
0110143,DIS,,
0110144,DIS,,
0110145,DIS,,
0110146,DIS,,
0110147,DIS,,
0110148,DIS,,
0110149,DIS,,
0110150,DIS,C537985,
0110151,DIS,C537984,
0110152,DIS,,
0110153,DIS,,
0110154,DIS,,
0110155,DIS,,
0110156,DIS,C537990,
0110157,DIS,,
0110158,DIS,C535416,
0110159,DIS,C537989,
0110160,DIS,,
0110161,DIS,,
0110162,DIS,,
0110163,DIS,,
0110164,DIS,,
0110165,DIS,,
0110166,DIS,,
0110167,DIS,,
0110168,DIS,,
0110169,DIS,,
0110170,DIS,,
0110171,DIS,,
0110173,DIS,,
0110174,DIS,,
0110175,DIS,,
0110176,DIS,,
0110177,DIS,,
0110178,DIS,,
0110179,DIS,C537991,
0110180,DIS,,
0110181,DIS,,
0110182,DIS,,
0110183,DIS,,
0110184,DIS,,
0110185,DIS,C535419,
0110186,DIS,,
0110187,DIS,,
0110188,DIS,C567636,
0110189,DIS,,
0110190,DIS,C535421,
0110191,DIS,C535420,
0110192,DIS,,
0110193,DIS,,
0110194,DIS,,
0110195,DIS,,
0110196,DIS,,
0110197,DIS,C564703,
0110198,DIS,,
0110199,DIS,C564257,
0110200,DIS,C564333,
0110201,DIS,C564256,
0110202,DIS,C564702,
0110203,DIS,,
0110204,DIS,,
0110205,DIS,,
0110206,DIS,,
0110207,DIS,,
0110208,DIS,C535302,
0110209,DIS,,
0110210,DIS,,
0110211,DIS,C535303,
0110212,DIS,,
0110213,DIS,,
0110214,DIS,C562950,
0110215,DIS,,
0110216,DIS,C564140,
0110217,DIS,,
0110218,DIS,,
0110219,DIS,C567087,
0110220,DIS,C567509,
0110221,DIS,C567508,
0110222,DIS,C567556,
0110223,DIS,C567735,
0110224,DIS,C567734,
0110225,DIS,C567732,
0110226,DIS,,
0110227,DIS,,
0110228,DIS,,
0110229,DIS,,
0110230,DIS,,
0110231,DIS,,
0110232,DIS,,
0110233,DIS,,
0110234,DIS,,
0110235,DIS,,
0110236,DIS,,
0110237,DIS,,
0110238,DIS,,
0110239,DIS,,
0110240,DIS,,
0110241,DIS,,
0110242,DIS,,
0110243,DIS,,
0110244,DIS,,
0110245,DIS,,
0110246,DIS,,
0110247,DIS,,
0110248,DIS,,
0110249,DIS,,
0110250,DIS,,
0110251,DIS,,
0110252,DIS,,
0110253,DIS,,
0110254,DIS,,
0110255,DIS,,
0110256,DIS,,
0110257,DIS,,
0110258,DIS,,
0110259,DIS,,
0110260,DIS,,
0110261,DIS,,
0110262,DIS,,
0110263,DIS,,
0110264,DIS,,
0110265,DIS,,
0110266,DIS,,
0110267,DIS,,
0110268,DIS,,
0110269,DIS,,
0110270,DIS,,
0110271,DIS,,
0110272,DIS,,
0110273,DIS,,
0110274,DIS,,
0110275,DIS,,
0110276,DIS,,
0110277,DIS,,
0110278,DIS,,
0110279,DIS,,
0110280,DIS,,
0110281,DIS,,
0110282,DIS,,
0110283,DIS,,
0110284,DIS,,
0110285,DIS,,
0110287,DIS,,
0110288,DIS,,
0110289,DIS,,
0110290,DIS,,
0110291,DIS,C565720,
0110292,DIS,,
0110293,DIS,,
0110294,DIS,,
0110295,DIS,,
0110296,DIS,,
0110297,DIS,,
0110298,DIS,,
0110299,DIS,,
0110301,DIS,,
0110303,DIS,,
0110304,DIS,,
0110305,DIS,,
0110306,DIS,,
0110307,DIS,,
0110308,DIS,,
0110309,DIS,,
0110310,DIS,,
0110311,DIS,,
0110312,DIS,,
0110313,DIS,,
0110314,DIS,,
0110315,DIS,,
0110316,DIS,,
0110317,DIS,,
0110318,DIS,,
0110319,DIS,,
0110320,DIS,,
0110321,DIS,,
0110322,DIS,,
0110323,DIS,,
0110324,DIS,,
0110326,DIS,,
0110327,DIS,,
0110328,DIS,,
0110329,DIS,C565327,
0110330,DIS,C567197,
0110331,DIS,C565814,
0110332,DIS,C565778,
0110333,DIS,,
0110334,DIS,D010013,C0023931
0110335,DIS,,
0110336,DIS,,
0110337,DIS,C565200,
0110338,DIS,,
0110339,DIS,,
0110340,DIS,,
0110341,DIS,,
0110342,DIS,,
0110343,DIS,,
0110344,DIS,,
0110345,DIS,,
0110346,DIS,,
0110347,DIS,,
0110348,DIS,,
0110349,DIS,,
0110350,DIS,,
0110351,DIS,,
0110352,DIS,,
0110353,DIS,C566718,
0110354,DIS,C566637,
0110355,DIS,C563689,
0110356,DIS,C563320,
0110357,DIS,C565206,
0110358,DIS,C563999,
0110359,DIS,,
0110360,DIS,,
0110361,DIS,,
0110362,DIS,,
0110363,DIS,,
0110364,DIS,,
0110365,DIS,,
0110366,DIS,C563676,
0110367,DIS,,
0110368,DIS,C564249,
0110369,DIS,,
0110370,DIS,,
0110371,DIS,,
0110372,DIS,C566706,
0110373,DIS,,
0110374,DIS,,
0110375,DIS,,
0110376,DIS,C567422,
0110377,DIS,,
0110378,DIS,C567403,
0110379,DIS,,
0110380,DIS,,
0110381,DIS,C563992,
0110382,DIS,,
0110383,DIS,C564284,
0110384,DIS,C566425,
0110385,DIS,,
0110386,DIS,C567854,
0110387,DIS,C566716,
0110388,DIS,C566715,
0110389,DIS,,
0110390,DIS,C538365,
0110391,DIS,C563685,
0110392,DIS,,
0110393,DIS,,
0110394,DIS,,
0110395,DIS,,
0110396,DIS,,
0110397,DIS,C563526,
0110398,DIS,,
0110399,DIS,C567005,
0110400,DIS,,
0110401,DIS,,
0110402,DIS,,
0110403,DIS,C564008,
0110404,DIS,C563437,
0110405,DIS,C566431,
0110406,DIS,C564310,
0110407,DIS,,
0110408,DIS,C563991,
0110409,DIS,C567249,
0110410,DIS,,
0110411,DIS,,
0110412,DIS,,
0110413,DIS,C564065,
0110414,DIS,C564520,
0110415,DIS,C567523,
0110416,DIS,,
0110417,DIS,C564475,
0110418,DIS,,
0110419,DIS,,
0110420,DIS,,
0110421,DIS,,
0110422,DIS,,
0110423,DIS,,
0110424,DIS,,
0110425,DIS,,
0110426,DIS,,
0110427,DIS,,
0110428,DIS,,
0110429,DIS,,
0110430,DIS,,
0110431,DIS,,
0110432,DIS,,
0110433,DIS,,
0110434,DIS,,
0110435,DIS,,
0110436,DIS,,
0110437,DIS,,
0110438,DIS,,
0110439,DIS,,
0110440,DIS,,
0110441,DIS,,
0110442,DIS,,
0110443,DIS,,
0110444,DIS,,
0110445,DIS,,
0110446,DIS,,
0110447,DIS,,
0110448,DIS,,
0110449,DIS,,
0110450,DIS,,
0110451,DIS,,
0110452,DIS,,
0110453,DIS,,
0110454,DIS,,
0110455,DIS,,
0110456,DIS,,
0110457,DIS,,
0110458,DIS,,
0110459,DIS,,
0110460,DIS,,
0110461,DIS,C580047,
0110462,DIS,,
0110463,DIS,,
0110464,DIS,,
0110465,DIS,,
0110467,DIS,,
0110468,DIS,,
0110469,DIS,,
0110470,DIS,,
0110471,DIS,,
0110472,DIS,,
0110473,DIS,,
0110474,DIS,,
0110475,DIS,,
0110476,DIS,,
0110477,DIS,,
0110478,DIS,,
0110479,DIS,,
0110480,DIS,,
0110481,DIS,,
0110482,DIS,,
0110483,DIS,,
0110484,DIS,,
0110485,DIS,,
0110486,DIS,,
0110487,DIS,,
0110488,DIS,,
0110489,DIS,,
0110490,DIS,,
0110491,DIS,,
0110492,DIS,,
0110493,DIS,,
0110494,DIS,,
0110495,DIS,,
0110496,DIS,,
0110497,DIS,,
0110498,DIS,,
0110499,DIS,,
0110500,DIS,,
0110501,DIS,,
0110502,DIS,,
0110503,DIS,,
0110504,DIS,,
0110505,DIS,,
0110506,DIS,,
0110507,DIS,,
0110508,DIS,,
0110509,DIS,,
0110510,DIS,,
0110511,DIS,,
0110512,DIS,,
0110513,DIS,,
0110514,DIS,,
0110515,DIS,,
0110516,DIS,,
0110517,DIS,,
0110518,DIS,,
0110519,DIS,,
0110520,DIS,,
0110521,DIS,,
0110522,DIS,,
0110523,DIS,,
0110524,DIS,,
0110525,DIS,,
0110526,DIS,,
0110527,DIS,,
0110528,DIS,,
0110529,DIS,,
0110530,DIS,,
0110531,DIS,,
0110532,DIS,,
0110533,DIS,,
0110534,DIS,,
0110535,DIS,,
0110536,DIS,,
0110537,DIS,,
0110538,DIS,,
0110539,DIS,,
0110540,DIS,,
0110541,DIS,,
0110542,DIS,,
0110543,DIS,,
0110544,DIS,,
0110545,DIS,,
0110546,DIS,,
0110547,DIS,,
0110548,DIS,,
0110549,DIS,,
0110550,DIS,,
0110551,DIS,,
0110552,DIS,,
0110553,DIS,,
0110554,DIS,,
0110555,DIS,,
0110556,DIS,,
0110557,DIS,,
0110558,DIS,,
0110559,DIS,,
0110560,DIS,,
0110561,DIS,,
0110562,DIS,,
0110563,DIS,,
0110564,DIS,,
0110565,DIS,,
0110566,DIS,,
0110567,DIS,,
0110568,DIS,,
0110569,DIS,,
0110570,DIS,,
0110571,DIS,,
0110572,DIS,,
0110573,DIS,,
0110574,DIS,,
0110575,DIS,,
0110576,DIS,,
0110577,DIS,,
0110578,DIS,,
0110579,DIS,,
0110580,DIS,,
0110581,DIS,,
0110582,DIS,,
0110583,DIS,,
0110584,DIS,,
0110585,DIS,,
0110586,DIS,,
0110587,DIS,,
0110588,DIS,,
0110589,DIS,,
0110590,DIS,,
0110591,DIS,,
0110592,DIS,,
0110593,DIS,,
0110594,DIS,,
0110595,DIS,,
0110596,DIS,,
0110597,DIS,,
0110598,DIS,,
0110599,DIS,,
0110600,DIS,,
0110601,DIS,,
0110602,DIS,,
0110603,DIS,,
0110604,DIS,,
0110605,DIS,,
0110606,DIS,,
0110607,DIS,,
0110608,DIS,,
0110609,DIS,,
0110610,DIS,,
0110611,DIS,,
0110612,DIS,,
0110613,DIS,,
0110614,DIS,,
0110615,DIS,,
0110616,DIS,,
0110617,DIS,,
0110618,DIS,,
0110619,DIS,,
0110620,DIS,,
0110621,DIS,,
0110622,DIS,,
0110623,DIS,,
0110624,DIS,,
0110625,DIS,,
0110626,DIS,,
0110627,DIS,,
0110628,DIS,,
0110629,DIS,,
0110630,DIS,C565733,
0110631,DIS,,
0110632,DIS,,
0110633,DIS,C535683,
0110634,DIS,,
0110635,DIS,,
0110636,DIS,C537384,C1263858
0110637,DIS,,
0110638,DIS,,
0110639,DIS,,
0110640,DIS,,
0110644,DIS,,
0110645,DIS,C563614,
0110646,DIS,C565840,
0110647,DIS,C566766,
0110648,DIS,C566333,
0110650,DIS,C567515,
0110651,DIS,C567514,
0110652,DIS,C567513,
0110653,DIS,C567842,
0110654,DIS,,
0110655,DIS,,
0110656,DIS,,
0110657,DIS,,
0110658,DIS,,
0110659,DIS,,
0110660,DIS,,
0110661,DIS,,
0110662,DIS,,
0110663,DIS,,
0110664,DIS,,
0110665,DIS,,
0110666,DIS,,
0110667,DIS,,
0110668,DIS,,
0110669,DIS,,
0110670,DIS,,
0110671,DIS,,
0110672,DIS,,
0110673,DIS,,
0110674,DIS,,
0110675,DIS,,
0110676,DIS,,
0110677,DIS,,
0110678,DIS,,
0110679,DIS,,
0110680,DIS,,
0110681,DIS,,
0110682,DIS,,
0110683,DIS,,
0110698,DIS,,
0110699,DIS,,
0110700,DIS,,
0110701,DIS,,
0110702,DIS,C567554,
0110703,DIS,,
0110704,DIS,,
0110705,DIS,,
0110706,DIS,,
0110707,DIS,,
0110708,DIS,,
0110709,DIS,,
0110710,DIS,,
0110711,DIS,,
0110712,DIS,,
0110713,DIS,,
0110714,DIS,,
0110715,DIS,,
0110716,DIS,,
0110717,DIS,,
0110718,DIS,,
0110719,DIS,,
0110720,DIS,,
0110721,DIS,,
0110722,DIS,,
0110723,DIS,,
0110724,DIS,,
0110725,DIS,,
0110726,DIS,,
0110727,DIS,,
0110728,DIS,,
0110729,DIS,,
0110730,DIS,,
0110731,DIS,,
0110732,DIS,,
0110733,DIS,,
0110734,DIS,C538421,C2931845
0110735,DIS,,
0110736,DIS,,
0110737,DIS,C548080,C1853578
0110738,DIS,,
0110739,DIS,,
0110740,DIS,,
0110741,DIS,,
0110742,DIS,,
0110743,DIS,,
0110744,DIS,,
0110745,DIS,,
0110746,DIS,,
0110747,DIS,,
0110748,DIS,,
0110749,DIS,,
0110750,DIS,,
0110751,DIS,,
0110752,DIS,,
0110753,DIS,,
0110754,DIS,,
0110755,DIS,,
0110756,DIS,,
0110757,DIS,,
0110758,DIS,,
0110759,DIS,,
0110760,DIS,,
0110761,DIS,,
0110763,DIS,,
0110764,DIS,,
0110765,DIS,,
0110766,DIS,,
0110767,DIS,,
0110768,DIS,,
0110769,DIS,,
0110770,DIS,,
0110771,DIS,,
0110772,DIS,,
0110773,DIS,,
0110774,DIS,,
0110775,DIS,,
0110776,DIS,,
0110777,DIS,,
0110778,DIS,,
0110779,DIS,,
0110780,DIS,,
0110781,DIS,,
0110782,DIS,,
0110783,DIS,,
0110784,DIS,,
0110785,DIS,,
0110786,DIS,,
0110787,DIS,,
0110788,DIS,,
0110789,DIS,,
0110790,DIS,,
0110791,DIS,,
0110792,DIS,,
0110793,DIS,,
0110794,DIS,,
0110795,DIS,,
0110796,DIS,,
0110797,DIS,,
0110798,DIS,,
0110799,DIS,,
0110800,DIS,,
0110801,DIS,,
0110802,DIS,,
0110803,DIS,,
0110804,DIS,,
0110805,DIS,,
0110806,DIS,,
0110807,DIS,,
0110808,DIS,,
0110809,DIS,,
0110810,DIS,,
0110811,DIS,,
0110812,DIS,,
0110813,DIS,,
0110814,DIS,,
0110815,DIS,,
0110816,DIS,,
0110817,DIS,,
0110818,DIS,,
0110819,DIS,,
0110820,DIS,,
0110821,DIS,,
0110822,DIS,,
0110823,DIS,,
0110824,DIS,,
0110825,DIS,,
0110826,DIS,,
0110827,DIS,D052245,
0110828,DIS,D052245,
0110829,DIS,D052245,C1568248
0110830,DIS,,
0110831,DIS,,
0110832,DIS,,
0110833,DIS,,
0110834,DIS,,
0110835,DIS,,
0110836,DIS,,
0110837,DIS,,
0110838,DIS,,
0110839,DIS,,
0110840,DIS,,
0110841,DIS,,
0110842,DIS,,
0110843,DIS,,
0110844,DIS,,
0110845,DIS,,
0110846,DIS,,
0110847,DIS,C536766,
0110848,DIS,,
0110849,DIS,,
0110850,DIS,,
0110851,DIS,,
0110852,DIS,C537607,
0110853,DIS,C537608,
0110854,DIS,,
0110855,DIS,,
0110856,DIS,,
0110857,DIS,,
0110858,DIS,,
0110859,DIS,,
0110860,DIS,,
0110861,DIS,D017044,C0085548
0110862,DIS,,
0110863,DIS,,
0110864,DIS,,
0110865,DIS,,
0110866,DIS,,
0110867,DIS,,
0110868,DIS,,
0110869,DIS,,
0110870,DIS,,
0110871,DIS,,
0110872,DIS,C563579,
0110873,DIS,C563659,
0110874,DIS,C565274,
0110875,DIS,C564181,
0110876,DIS,C563660,
0110877,DIS,,
0110878,DIS,C566464,
0110879,DIS,C563723,
0110880,DIS,C564180,
0110881,DIS,,
0110882,DIS,C565353,
0110883,DIS,C567378,
0110884,DIS,C567326,
0110885,DIS,C567021,
0110886,DIS,C563926,
0110887,DIS,C567388,
0110888,DIS,C567377,
0110889,DIS,C565234,
0110890,DIS,C567372,
0110891,DIS,C565764,
0110892,DIS,,
0110893,DIS,C567384,
0110894,DIS,C567154,
0110895,DIS,C567383,
0110896,DIS,C567380,
0110897,DIS,C567381,
0110898,DIS,C567361,
0110899,DIS,,
0110900,DIS,C563310,
0110901,DIS,C567217,
0110902,DIS,C567559,
0110903,DIS,C564680,
0110904,DIS,C564682,
0110905,DIS,C567327,
0110906,DIS,C567338,
0110907,DIS,C564681,
0110908,DIS,C567252,
0110909,DIS,,
0110910,DIS,,
0110912,DIS,,
0110913,DIS,,
0110914,DIS,,
0110915,DIS,,
0110916,DIS,,
0110917,DIS,,
0110918,DIS,,
0110919,DIS,,
0110920,DIS,,
0110921,DIS,,
0110922,DIS,,
0110923,DIS,,
0110924,DIS,,
0110925,DIS,,
0110926,DIS,C538348,
0110927,DIS,,
0110928,DIS,C538349,
0110929,DIS,,
0110930,DIS,,
0110931,DIS,,
0110932,DIS,C538351,
0110933,DIS,,
0110934,DIS,C565198,
0110935,DIS,C538398,
0110936,DIS,C538397,
0110937,DIS,C536056,C1843330
0110938,DIS,D010022,C3179239
0110939,DIS,,
0110940,DIS,,
0110941,DIS,,
0110942,DIS,,
0110943,DIS,,
0110944,DIS,,
0110945,DIS,,
0110946,DIS,,
0110947,DIS,C536465,
0110948,DIS,D014849,C1847800
0110949,DIS,,
0110950,DIS,C536464,
0110951,DIS,,
0110952,DIS,,
0110953,DIS,,
0110954,DIS,,
0110955,DIS,,
0110956,DIS,,
0110957,DIS,,
0110958,DIS,,
0110959,DIS,,
0110960,DIS,,
0110961,DIS,,
0110962,DIS,,
0110963,DIS,,
0110964,DIS,C537088,
0110965,DIS,C537089,C1832702
0110966,DIS,C537090,
0110967,DIS,,
0110968,DIS,C537092,C1862130
0110969,DIS,,
0110970,DIS,C537093,"C1300268, C1862103"
0110971,DIS,,
0110972,DIS,,
0110973,DIS,C535914,C2931060
0110974,DIS,,
0110975,DIS,,
0110976,DIS,,
0110977,DIS,,
0110978,DIS,,
0110979,DIS,,
0110980,DIS,,
0110981,DIS,C567582,
0110982,DIS,,
0110983,DIS,,
0110984,DIS,,
0110985,DIS,,
0110986,DIS,,
0110987,DIS,,
0110988,DIS,C536294,
0110989,DIS,,
0110990,DIS,,
0110991,DIS,,
0110992,DIS,,
0110993,DIS,,
0110994,DIS,,
0110995,DIS,,
0110996,DIS,,
0110997,DIS,,
0110998,DIS,C536295,
0110999,DIS,C536296,
0111000,DIS,C537688,
0111001,DIS,C537689,
0111002,DIS,C566916,
0111003,DIS,C567358,
0111004,DIS,C567364,
0111005,DIS,,
0111006,DIS,,
0111007,DIS,,
0111008,DIS,,
0111009,DIS,C563469,
0111010,DIS,C563415,
0111011,DIS,,
0111012,DIS,C566350,
0111013,DIS,C565827,
0111014,DIS,C565322,
0111015,DIS,,
0111016,DIS,C567698,
0111017,DIS,C564597,
0111018,DIS,C563671,
0111019,DIS,C567206,
0111020,DIS,,
0111021,DIS,,
0111022,DIS,,
0111023,DIS,,
0111024,DIS,,
0111025,DIS,,
0111026,DIS,,
0111027,DIS,,
0111028,DIS,C537249,C1853733
0111029,DIS,,
0111030,DIS,C537248,C1858664
0111031,DIS,,
0111032,DIS,,
0111033,DIS,,
0111034,DIS,C537247,
0111035,DIS,,
0111036,DIS,,
0111037,DIS,,
0111038,DIS,,
0111039,DIS,,
0111040,DIS,,
0111041,DIS,C563008,
0111042,DIS,,
0111043,DIS,C567809,
0111044,DIS,D055652,C0272302
0111045,DIS,,
0111046,DIS,,
0111047,DIS,,
0111048,DIS,,
0111049,DIS,D055652,C0272302
0111050,DIS,C536260,C1866423
0111051,DIS,,
0111052,DIS,C563120,C0796149
0111053,DIS,,
0111054,DIS,D056729,C1264041
0111055,DIS,,
0111056,DIS,,
0111057,DIS,,
0111058,DIS,,
0111059,DIS,,
0111060,DIS,C536605,
0111061,DIS,,
0111062,DIS,,
0111063,DIS,,
0111064,DIS,,
0111065,DIS,C535715,C1854023
0111066,DIS,,
0111067,DIS,,
0111068,DIS,C535444,C1858328
0111069,DIS,C535443,C1856127
0111070,DIS,C566340,C3151147
0111071,DIS,C535442,C1843116
0111072,DIS,C536106,C2931112
0111073,DIS,,
0111074,DIS,,
0111075,DIS,C564202,
0111076,DIS,C567037,
0111077,DIS,C564858,
0111078,DIS,D049310,C1838244
0111079,DIS,D000080365,C1853959
0111080,DIS,,
0111081,DIS,,
0111082,DIS,,
0111083,DIS,,
0111084,DIS,,
0111085,DIS,,
0111086,DIS,,
0111087,DIS,,
0111088,DIS,,
0111089,DIS,,
0111090,DIS,,
0111091,DIS,,
0111092,DIS,,
0111093,DIS,,
0111094,DIS,,
0111095,DIS,,
0111096,DIS,,
0111097,DIS,,
0111098,DIS,,
0111099,DIS,,
0111100,DIS,,
0111101,DIS,,
0111102,DIS,,
0111103,DIS,C563451,
0111104,DIS,,
0111105,DIS,,
0111106,DIS,,
0111107,DIS,,
0111108,DIS,,
0111109,DIS,,
0111110,DIS,,
0111111,DIS,,
0111112,DIS,,
0111113,DIS,C566582,
0111114,DIS,C565780,
0111115,DIS,C564640,
0111116,DIS,C566930,
0111117,DIS,,
0111118,DIS,,
0111119,DIS,,
0111120,DIS,,
0111121,DIS,,
0111122,DIS,,
0111123,DIS,,
0111124,DIS,,
0111125,DIS,,
0111126,DIS,,
0111127,DIS,,
0111128,DIS,,
0111129,DIS,C565831,
0111130,DIS,C567687,
0111131,DIS,,
0111132,DIS,,
0111133,DIS,,
0111134,DIS,,
0111135,DIS,,
0111136,DIS,,
0111137,DIS,,
0111138,DIS,,
0111139,DIS,C565128,
0111140,DIS,,
0111141,DIS,,
0111142,DIS,,
0111143,DIS,,C4757950
0111144,DIS,C563032,
0111145,DIS,,
0111146,DIS,,C0272362
0111147,DIS,D007119,C0020981
0111148,DIS,C536184,"C0013581, C2746069"
0111149,DIS,,
0111150,DIS,,C1851286
0111151,DIS,D000788,
0111152,DIS,C537372,C1334815
0111153,DIS,,
0111154,DIS,D054972,
0111155,DIS,,
0111156,DIS,,
0111157,DIS,C536362,"C0017531, C2931179"
0111158,DIS,D000130,C2674173
0111159,DIS,,
0111160,DIS,C537975,C1864852
0111161,DIS,,
0111162,DIS,C580062,
0111163,DIS,C565373,C1854989
0111164,DIS,C565372,C1854988
0111165,DIS,C535811,
0111166,DIS,C565374,C1854990
0111167,DIS,,
0111168,DIS,C562657,C0268468
0111169,DIS,D054221,C1848201
0111170,DIS,,
0111180,DIS,C537004,C1857355
0111181,DIS,,
0111182,DIS,,
0111183,DIS,,
0111184,DIS,,
0111185,DIS,,
0111186,DIS,,
0111187,DIS,,
0111188,DIS,,
0111189,DIS,,
0111190,DIS,,
0111191,DIS,,
0111192,DIS,,
0111193,DIS,,
0111194,DIS,,
0111195,DIS,,
0111196,DIS,C564506,C1845359
0111197,DIS,,
0111198,DIS,,
0111199,DIS,,
0111200,DIS,C566675,C1866784
0111201,DIS,,
0111202,DIS,,
0111203,DIS,C563443,C1833308
0111204,DIS,,
0111205,DIS,,
0111206,DIS,C580044,C3711384
0111207,DIS,,
0111208,DIS,,
0111209,DIS,,
0111210,DIS,,
0111211,DIS,C564626,C1846823
0111212,DIS,,
0111213,DIS,C567023,C1970211
0111214,DIS,,
0111215,DIS,,
0111216,DIS,,
0111217,DIS,D020914,C1834558
0111218,DIS,C565561,
0111219,DIS,C566594,
0111220,DIS,C562934,C0410204
0111221,DIS,,
0111222,DIS,,
0111223,DIS,,
0111224,DIS,,
0111225,DIS,D020914,C0410203
0111226,DIS,,
0111227,DIS,C579991,
0111228,DIS,C566236,C1862382
0111229,DIS,,
0111230,DIS,,
0111231,DIS,,
0111232,DIS,,
0111233,DIS,,
0111234,DIS,,
0111235,DIS,,
0111236,DIS,,
0111237,DIS,,
0111238,DIS,,
0111239,DIS,,
0111240,DIS,,
0111241,DIS,,
0111242,DIS,,
0111243,DIS,C535662,C0265287
0111244,DIS,C537050,C1863093
0111245,DIS,C535336,C1859316
0111246,DIS,D000690,C0543859
0111247,DIS,C537095,C1862170
0111248,DIS,C562538,C0265342
0111249,DIS,C535971,C0795902
0111250,DIS,,
0111251,DIS,,
0111252,DIS,D016518,C0027832
0111253,DIS,D009456,C0027831
0111254,DIS,C536833,
0111255,DIS,C538159,C0948368
0111256,DIS,C538137,C1833213
0111257,DIS,C536836,C0268524
0111258,DIS,C536652,C0268162
0111259,DIS,C537680,C0265257
0111260,DIS,C567064,C1970827
0111261,DIS,C538191,"C0342770, C2936826"
0111262,DIS,,
0111263,DIS,C580002,C3280314
0111264,DIS,,
0111265,DIS,C565850,C1859093
0111266,DIS,C537799,C0432255
0111267,DIS,,
0111268,DIS,,
0111269,DIS,,
0111270,DIS,C538141,"C0268624, C2931746"
0111271,DIS,C536554,C1848745
0111272,DIS,C537860,C0268353
0111273,DIS,C537396,C1328349
0111274,DIS,C536434,C1838180
0111275,DIS,,
0111276,DIS,C537583,C1843851
0111277,DIS,C566945,C1969443
0111278,DIS,,
0111279,DIS,,
0111280,DIS,,
0111281,DIS,,
0111282,DIS,,
0111283,DIS,,
0111284,DIS,,
0111285,DIS,,
0111286,DIS,,
0111287,DIS,,
0111288,DIS,,
0111289,DIS,,
0111290,DIS,,
0111291,DIS,,
0111292,DIS,,
0111293,DIS,,
0111294,DIS,,
0111295,DIS,C567827,
0111296,DIS,,
0111297,DIS,,
0111298,DIS,,
0111299,DIS,,
0111300,DIS,,
0111301,DIS,,
0111302,DIS,,
0111303,DIS,,
0111304,DIS,,
0111305,DIS,,
0111306,DIS,,
0111307,DIS,,
0111308,DIS,,
0111309,DIS,,
0111310,DIS,,
0111311,DIS,,
0111312,DIS,,
0111313,DIS,,
0111314,DIS,,
0111315,DIS,,
0111316,DIS,,
0111317,DIS,,
0111318,DIS,,
0111319,DIS,,
0111320,DIS,,
0111321,DIS,,
0111322,DIS,,
0111323,DIS,,
0111324,DIS,,
0111325,DIS,,
0111326,DIS,,
0111327,DIS,,
0111328,DIS,,
0111329,DIS,C566449,C1864723
0111330,DIS,C567125,
0111331,DIS,,
0111332,DIS,,
0111333,DIS,,
0111334,DIS,,
0111335,DIS,,
0111336,DIS,C536453,C1852510
0111337,DIS,C537559,C0795998
0111338,DIS,,
0111339,DIS,C536457,C0265964
0111340,DIS,,C3276549
0111341,DIS,C565114,C1852222
0111342,DIS,C535374,C0406778
0111343,DIS,C537878,C1851710
0111344,DIS,,
0111345,DIS,C536979,C1851573
0111346,DIS,C535959,C0432316
0111347,DIS,C562638,
0111348,DIS,C565046,C1851536
0111349,DIS,C535944,C1851124
0111350,DIS,C535689,C1851100
0111351,DIS,,
0111352,DIS,,
0111353,DIS,,
0111354,DIS,,
0111355,DIS,C565504,
0111356,DIS,,
100,DIS,,C0178238
10003,DIS,D006319,C0018784
10011,DIS,,C1336753
10016,DIS,,
10017,DIS,,
1002,DIS,D004716,C0014179
10020,DIS,,C0153454
10021,DIS,D004379,"C0153426, C0541912"
10022,DIS,,C0345916
10024,DIS,D020325,C0154723
10027,DIS,D013606,C0039223
1003,DIS,D000292,C0242172
10030,DIS,,C1370824
10031,DIS,,C0155918
10032,DIS,D019568,C0524799
10033,DIS,,C0235238
10034,DIS,,C0152198
10035,DIS,D009494,C0153167
10039,DIS,D009494,"C0153132, C0153136"
10040,DIS,,C0339116
10041,DIS,D004416,C0205747
10044,DIS,,C0334426
10047,DIS,,C0334424
1005,DIS,,C0151622
10054,DIS,,C0349515
10069,DIS,,C0345746
10070,DIS,,C1334370
10071,DIS,,C0240164
10073,DIS,C536775,C0153166
10074,DIS,D006925,C0020413
10075,DIS,D004169,C0012561
10079,DIS,D003551,C0010678
10080,DIS,D013031,C0037753
10081,DIS,,C0153168
10087,DIS,,C0238440
10095,DIS,,C0021874
10112,DIS,D014353,C0041228
10113,DIS,D014352,C0041227
10120,DIS,,C0155209
10122,DIS,C562400,C0155211
10123,DIS,,
10124,DIS,,
10125,DIS,,C0339286
10126,DIS,D007640,C0022578
10127,DIS,,C0028790
10128,DIS,,C0042485
10131,DIS,,C0042266
10132,DIS,,C0033951
10138,DIS,D014985,C0043349
10139,DIS,,
10140,DIS,D015352,C0013238
10141,DIS,,
10146,DIS,,C1336745
10149,DIS,,C0153517
10151,DIS,,C0153518
10152,DIS,,C0153429
10153,DIS,,C0153428
10154,DIS,,C0153425
10155,DIS,D007414,C0346627
10156,DIS,D007078,C0020876
10159,DIS,D010020,"C0003977, C0027543"
10174,DIS,,C0155253
10175,DIS,D010211,"C0030353, C0155288"
10176,DIS,D012173,C0154874
10177,DIS,,C0155593
10182,DIS,,
10183,DIS,,C0852937
10184,DIS,,C0334474
10187,DIS,,C1333455
