,0
564,30323
565,25022340
566,13387
567,22083401
568,71300601
569,24477
570,6456014
571,71587784
572,19851629
573,46200932
574,2756
575,51166
576,56841753
577,139030979
578,16667669
579,3961
580,444036
581,10033875
582,16049404
583,3001322
584,21718
585,11313622
586,54682461
587,77082
588,78070868
589,208951
590,10073773
591,3152
592,3397
593,6918585
594,50225
595,135544014
596,4091
597,24780598
598,23657720
599,16135499
600,3779
601,57920094
602,46937352
603,11333
604,1030
605,25025505
606,11292191
607,17755248
608,446220
609,6178111
610,16662425
611,135398738
612,6917983
613,961320
614,9916632
615,140944699
616,6918664
617,123628
618,70914230
619,5280343
620,45375953
621,2678
622,25183380
623,702
624,46832368
625,75905632
626,139082353
627,3883
628,173480
629,168010175
630,16137348
631,59448236
632,5281081
633,96800
634,93147
635,15983988
636,5310985
637,77910626
638,5245480
639,56840904
640,10221200
641,145722633
642,121328278
643,76968809
644,134694273
645,5496659
646,6451150
647,54715158
648,16007391
649,11952856
650,86677874
651,5567
652,1775
653,3345
654,121364961
655,4192
656,71158
657,3749
658,177941
659,24999143
660,71613
661,11508736
662,3081349
663,16207730
664,1548972
665,71300957
666,72304
667,44200882
668,15953693
669,41684
670,938
671,656954
672,2146
673,26248
674,16736529
675,16124208
676,57412325
677,3016
678,6398888
679,753
680,213053
681,16739648
682,54670067
683,5281052
684,493570
685,71301229
686,5437
687,135398735
688,24785538
689,46213922
690,216300
691,11670435
692,3503
693,44623998
694,21302490
695,85570
696,174
697,44469321
698,33624
699,864
700,57050
701,71481097
702,10182969
703,70695616
704,52946032
705,5310993
706,3494
707,104850
708,118989588
709,2162
710,9794203
711,5323714
712,5311497
713,129119870
714,4485
715,148202
716,86278355
717,5282402
718,24066
719,3549980
720,31072
721,3386
722,16040217
723,107876
724,16755766
725,5360733
726,24857286
727,74223469
728,49855250
729,11949652
730,9941444
731,58460047
732,107641
733,7669
734,4996
735,16155604
736,54841
737,9882189
738,444031
739,65702
740,11296583
741,4158
742,11502243
743,3025803
744,24970412
745,42642645
746,441351
747,6918412
748,3637
749,71300723
750,2913
751,24753271
752,134391533
753,5284549
754,139399801
755,3007908
756,31401
757,165341
758,17755052
759,10290811
760,127766
761,184196
762,2815031
763,67156338
764,4201
765,54676228
766,46220502
767,71262247
768,135398508
769,44145344
770,5881
771,5702160
772,9855284
773,222067
774,118987285
775,11954236
776,135430970
777,469717
778,6918589
779,3009355
780,3767
781,6918204
782,9833444
783,91826280
784,11405965
785,154417
786,24996872
787,9833838
788,444020
789,774
790,11993702
791,9854073
792,148195
793,131704322
794,10453870
795,192716
796,2720
797,11519397
798,59472121
799,3763
800,58282870
801,46186926
802,71580991
803,9351
804,1993
805,10429242
806,10368812
807,58298316
808,6432
809,10176082
810,3028194
811,457928
812,16129708
813,11511120
814,15606394
815,68470595
816,208925
817,5663
818,4875
819,5280360
820,50108
821,68029831
822,3009
823,18601084
824,24821094
825,3125
826,121269225
827,10207484
828,22506569
829,11750009
830,91933883
831,24770445
832,185460
833,656846
834,29569
835,4033
836,6251
837,71237
838,121439966
839,657180
840,7427
841,9822383
842,118036971
843,3033
844,11249539
845,23718384
846,750
847,11640390
848,89508529
849,121276461
850,71600085
851,46854987
852,9797017
853,124091040
854,5634
855,18687754
856,44591583
857,214346
858,129010506
859,148137
860,25108829
861,121494121
862,24826799
863,105102
864,54766
865,59215954
866,46943432
867,9833332
868,16045195
869,5960
870,5312108
871,135398739
872,216327
873,44815683
874,66829720
875,56841751
876,11485656
877,667490
878,44129648
879,60837
880,8347
881,5284603
882,9824131
883,11269353
884,135428923
885,4763
886,135564985
887,56841124
888,9051
889,107807
890,23665637
891,86278334
892,148139
893,3291
894,49784002
895,24434
896,9942657
897,49803313
898,16132393
899,11561674
900,6035
901,52914971
902,37542
903,68677842
904,91885554
905,3038525
906,11607546
907,2375
908,4976
909,135398745
910,5352062
911,4993
912,24851355
913,4932
914,36314
915,4829
916,90445883
917,63952
918,2746
919,6433516
920,449673
921,657237
922,20469
923,44537963
924,60560
925,4935
926,208898
927,26879
928,144
929,11505444
930,122706930
931,57331749
932,9908684
933,46871935
934,10930
935,11653141
936,607
937,6322
938,2719
939,129027688
940,9820475
941,24550
942,11372270
943,11998575
944,2761171
945,59768
946,25086585
947,392622
948,9833525
949,2802
950,135413525
951,71144018
952,443936
953,89683805
954,11358855
955,5280581
956,9812416
957,969472
958,9915131
959,64953
960,11955855
961,9832383
962,71077
963,23672301
964,19493
965,25022354
966,10660
967,60852
968,72402
969,23725625
970,3599
971,15593907
972,6215
973,25074470
974,46700756
975,11304743
976,29327
977,11973736
978,56494
979,56841655
980,71539018
981,9832447
982,3055168
983,23680578
984,57327016
985,141671949
986,10127622
987,135410875
988,122497020
989,6918314
990,68791
991,73291783
992,23938
993,4194514
994,71621329
995,24978538
996,11284169
997,21700
998,86290953
999,179337
1000,11953153
1001,5282440
1002,148293990
1003,23709079
1004,3007857
1005,13217493
1006,166589
1007,11618268
1008,4595
1009,135409535
1010,58496428
1011,24866733
1012,123596
1013,44232546
1014,119031
1015,9939892
1016,426756
1017,9871420
1018,54579605
1019,24507
1020,46863668
1021,26133
1022,60194102
1023,10116877
1024,452548
1025,89808643
1026,42636651
1027,6451149
1028,23663982
1029,9852201
1030,5291
1031,10482134
1032,16129670
1033,86292849
1034,86278354
1035,47936
1036,3690
1037,5910
1038,6917715
1039,57345941
1040,16225380
1041,5479529
1042,25134326
1043,77108121
1044,679
1045,60953
1046,2578
1047,4615
1048,23666112
1049,54679076
1050,56960363
1051,449193
1052,71611869
1053,1471834
1054,4205
1055,4912
1056,20975402
1057,6857731
1058,6112
1059,11673085
1060,118856773
1061,68861
1062,9577124
1063,6450806
1064,52939580
1065,5311068
1066,25191001
1067,9816485
1068,60877
1069,15983287
1070,135484065
1071,3826
1072,154100
1073,44603533
1074,146570
1075,6058
1076,135398510
1077,85470863
1078,5243
1079,137634027
1080,60838
1081,44557636
1082,44139752
1083,9883029
1084,24872560
1085,24268
1086,134159760
1087,149755
1088,118435805
1089,5284550
1090,118282339
1091,5280980
1092,2244
1093,135565159
1094,5526
1095,9554809
1096,11347535
1097,76685059
1098,5472
1099,5311505
1100,43815
1101,3957
1102,91758792
1103,43157
1104,44561
1105,25017411
1106,11326715
1107,24764487
1108,60825
1109,98606
1110,15008962
1111,9568614
1112,6234
1113,73491
1114,25195461
1115,56649297
1116,70882
1117,76287260
1118,2929
1119,10339178
1120,5736
1121,54369
1122,16132446
1123,9874913
1124,3950
1125,59543597
1126,10366136
1127,54670351
1128,121408882
1129,5813717
1130,3062316
1131,50137
1132,2265
1133,16089914
1134,44511587
1135,667484
1136,93504
1137,3448
1138,46917099
1139,3715
1140,23663404
1141,87055263
1142,108150
1143,5287969
1144,135418404
1145,1986
1146,1349907
1147,24772484
1148,3052762
1149,2541
1150,6918140
1151,16139605
1152,5359367
1153,24266
1154,71661158
1155,56599306
1156,197256
1157,11671467
1158,5311272
1159,2723601
1160,72976828
1161,9823724
1162,46883775
1163,5035
1164,155804637
1165,126961754
1166,57336782
1167,6918315
1168,3157
1169,90116675
1170,118628567
1171,71424
1172,58212050
1173,70980485
1174,92095
1175,136060560
1176,70798655
1177,5070
1178,16071605
1179,237332
1180,71502876
1181,6918493
1182,11243969
1183,46926350
1184,155817506
1185,11591741
1186,6029
1187,6314
1188,657181
1189,157010069
1190,450460
1191,71736582
1192,71616
1193,124081896
1194,6918473
1195,126961390
1196,11001318
1197,13584912
1198,249332
1199,138752609
1200,9034
1201,25067547
1202,446541
1203,487101
1204,23673837
1205,65057
1206,9960285
1207,11397521
1208,10176093
1209,3878
1210,9831415
1211,172915557
1212,5351154
1213,104838
1214,464205
1215,5281068
1216,163203566
1217,9796304
1218,25031915
1219,47319
1220,11697697
1221,11394238
1222,11462174
1223,31100
1224,5238
1225,24772106
1226,63019
1227,219078
1228,135565596
1229,11224409
1230,82146
1231,68389008
1232,196970
1233,11188409
1234,86291103
1235,5288674
1236,457831
1237,100427
1238,148160
1239,9824145
1240,3478
1241,9853498
1242,25182860
1243,46851625
1244,82153
1245,71059746
1246,135565554
1247,71236992
1248,9878913
1249,962
1250,11749858
1251,53387034
1252,158348
1253,73777259
1254,2327
1255,133082079
1256,135398513
1257,56842124
1258,644019
1259,25127713
1260,6918638
1261,204105
1262,25229652
1263,31553
1264,5161
1265,2099
1266,10130337
1267,76900653
1268,2764
1269,23994
1270,89594
1271,85364158
1272,16132353
1273,86287635
1274,86298861
1275,10345213
1276,25145656
1277,132451761
1278,44814409
1279,2315
1280,10083297
1281,57406853
1282,71587953
1283,24771368
1284,9799487
1285,10224267
1286,86289593
1287,86575116
1288,2478
1289,91488
1290,52951810
1291,148121
1292,6918289
1293,46866319
1294,5311128
1295,9941638
1296,70691388
1297,32343
1298,76374506
1299,466151
1300,4062
1301,134601
1302,44201003
1303,272833
1304,7140
1305,129277417
1306,121273514
1307,25227436
1308,10352692
1309,492405
1310,9917021
1311,56841910
1312,10838895
1313,24873435
1314,145722629
1315,657308
1316,71494926
1317,450510
1318,5281004
1319,3086674
1320,11533060
1321,9887712
1322,219101
1323,107706
1324,2130
1325,77999
1326,5939
1327,9926832
1328,133082075
1329,16043221
1330,46902081
1331,11646777
1332,156596374
1333,179344
1334,3348
1335,4497
1336,86764100
1337,132608
1338,172641543
1339,9811834
1340,644073
1341,5577
1342,4893
1343,45588096
1344,54575171
1345,60700
1346,42639643
1347,24963749
1348,91667513
1349,28179
1350,24822371
1351,2723854
1352,23576
1353,154104
1354,63020
1355,369976
1356,11683005
1357,439213
1358,6918456
